2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
=371,333,universidade federal do rio de janeiro,BR,Brazil,XL,FC,VH,5,A,60,119,17,509,15,701+,8,701+,8,701+,2,701+,52,302,37,203,23,514=,30
374,343=,"birkbeck, university of london",UK,United Kingdom,M,FO,VH,5,A,11,601+,4,601+,14,701+,65,172,98,123,98,62,9,692,12,701+,12,642=,30
=375,443=,amirkabir university of technology,IR,"Iran, Islamic Republic of",M,FO,VH,4,A,4,601+,33,295,5,701+,100,13,16,652,3,701+,10,681,10,701+,17,586=,30
=375,388=,northeastern university,US,United States,L,CO,VH,5,B,19,463,10,601+,19,691,24,497,60,316,94,90,33,433,35,211,87,112,30
=375,416=,ruhr-universität bochum,DE,Germany,XL,FC,VH,4,A,21,411,11,601+,2,701+,60,208,61,314,30,425,62,231,15,570,18,567=,30
379,312=,tufts university,US,United States,L,FC,VH,5,B,18,497,5,601+,56,263,43,312,25,532,36,374,19,552,48,143,51,301=,29
380,425=,flinders university,AU,Australia,L,FC,VH,4,A,13,601+,7,601+,7,701+,43,313,97,127,90,119,39,385,11,701+,65,226=,29
381,,university of luxembourg,LU,Luxembourg,M,CO,VH,2,,9,601+,5,601+,77,152,29,447,100,14,100,24,18,557,26,323,0,,29
=382,256=,mahidol university,TH,Thailand,L,FC,VH,4,A,42,200,30,322,78,147,5,701+,6,701+,5,701+,10,666,11,701+,28,471=,29
=384,378=,nankai university,CN,China (Mainland),XL,FC,VH,4,A,21,414,9,601+,30,526,74,132,11,701+,4,701+,8,701+,19,440,23,521=,29
=384,384=,westfälische wilhelms-universität münster,DE,Germany,L,FC,VH,5,A,32,278,25,389,55,271,13,688,30,489,5,701+,59,252,26,314,28,471=,29
386,380=,university of hawaiʻi at mānoa,US,United States,L,FC,VH,5,A,16,543,9,601+,37,429,49,279,53,345,13,664,54,293,11,701+,48,320=,28
=387,490=,aix-marseille university,FR,France,XL,FC,VH,5,A,36,241,5,601+,8,701+,27,468,19,609,20,549,99,13,11,701+,65,228=,28
=387,288=,belarusian state university,BY,Belarus,L,FO,VH,5,A,27,327,43,219,95,61,1,701+,4,701+,50,294,3,701+,25,341,1,701+,28
=387,327,national taiwan university of science and technology (taiwan tech),TW,Taiwan,M,FO,VH,3,A,27,321,38,256,44,360,27,463,18,622,31,410,2,701+,19,451,27,481=,28
=387,256=,universiti brunei darussalam (ubd),BN,Brunei,S,CO,VH,3,A,21,420,6,601+,96,54,8,701+,100,47,65,231,2,701+,27,296,4,701+,28
=392,457=,institut national des sciences appliquées de lyon (insa),FR,France,M,FO,VH,4,A,8,601+,29,331,37,425,51,258,29,492,69,213,19,553,13,674,21,540=,28
=392,406=,south china university of technology,CN,China (Mainland),XL,CO,VH,3,A,13,601+,4,601+,19,694,95,50,10,701+,5,701+,10,674,22,380,10,667=,28
=392,408=,technion - israel institute of technology,IL,Israel,L,FC,VH,5,A,25,345,28,347,44,358,25,479,65,296,5,701+,13,628,31,250,26,485=,28
=392,422=,xiamen university,CN,China (Mainland),XL,FC,VH,4,A,26,340,12,601+,20,664,65,170,5,701+,3,701+,25,494,22,387,17,579=,28
=396,490=,justus-liebig-university giessen,DE,Germany,L,FC,VH,5,A,14,601+,6,601+,2,701+,86,92,12,701+,19,561,64,221,10,701+,11,655,28
=396,322,kazan (volga region) federal university,RU,Russia,L,FC,VH,5,A,23,387,8,601+,94,68,3,701+,11,701+,96,82,62,234,11,701+,24,497=,28
=396,416=,"stony brook university, state university of new york",US,United States,L,FC,VH,4,A,19,473,8,601+,30,517,32,424,45,376,51,285,34,424,19,449,89,97=,28
399,308=,hse university,RU,Russia,XL,FO,VH,3,A,27,318,32,308,91,82,2,701+,6,701+,16,597,71,191,13,639,5,701+,28
=400,481=,iowa state university,US,United States,L,CO,VH,5,A,20,440,14,597,8,701+,59,217,5,701+,11,690,51,307,27,300,52,295=,28
=400,369=,universidade nova de lisboa,PT,Portugal,L,FC,VH,4,A,28,313,20,452,20,679,24,498,24,548,47,309,64,224,19,444,40,362=,28
403,494=,university of granada,ES,Spain,XL,FC,VH,5,A,44,192,10,601+,6,701+,23,509,3,701+,16,598,97,34,5,701+,36,391=,28
=404,453,"university of california, riverside",US,United States,L,FC,VH,4,A,18,505,7,601+,7,701+,60,207,63,307,9,701+,45,346,10,701+,47,327=,28
=404,412=,university of the philippines,PH,Philippines,XL,FC,HI,5,A,34,250,59,136,38,415,2,701+,2,701+,1,701+,9,685,35,213,39,370=,28
=407,486=,auckland university of technology (aut),NZ,New Zealand,L,CO,VH,2,A,19,464,12,601+,10,701+,19,575,100,59,99,48,12,635,19,433,72,196=,27
409,408=,colorado state university,US,United States,L,CO,VH,5,A,19,475,18,482,57,258,20,553,12,701+,4,701+,55,285,15,559,98,29,27
=410,465=,universidad de santiago de chile (usach),CL,Chile,L,FC,HI,5,A,43,197,73,92,9,701+,4,701+,7,701+,2,701+,7,701+,4,701+,13,635,27
=410,369=,university of kansas,US,United States,L,FC,VH,5,A,15,577,13,601+,84,116,9,701+,73,263,8,701+,36,414,24,359,72,194=,27
=413,438=,oxford brookes university,UK,United Kingdom,L,CO,HI,3,A,29,301,30,329,14,701+,8,701+,69,282,70,209,27,481,18,454,34,409=,27
=413,402=,royal holloway university of london,UK,United Kingdom,M,CO,VH,5,A,16,546,6,601+,14,701+,36,384,94,155,89,125,24,511,11,701+,38,377=,27
=415,461=,james cook university,AU,Australia,M,FC,VH,4,A,15,567,9,601+,14,701+,51,255,42,393,14,650,43,359,9,701+,83,131,27
=415,267=,moscow institute of physics and technology (mipt / moscow phystech),RU,Russia,M,FO,VH,4,A,20,446,20,455,96,57,16,620,31,480,53,273,5,701+,16,534,1,701+,27
=415,416=,the american university in cairo,EG,Egypt,M,CO,HI,5,B,30,287,24,405,43,368,5,701+,98,115,4,701+,1,701+,63,92,16,588=,27
418,264=,tomsk state university,RU,Russia,M,CO,VH,5,A,23,376,11,601+,99,32,5,701+,24,555,92,109,23,514,7,701+,3,701+,27
=419,477=,unesp,BR,Brazil,XL,FC,VH,3,A,39,219,35,282,15,701+,16,614,6,701+,3,701+,35,422,6,701+,54,287,27
=419,443=,washington state university,US,United States,L,FC,VH,5,A,24,354,18,489,16,701+,35,386,50,358,6,701+,47,335,11,701+,50,309=,27
=421,284=,graz university of technology,AT,Austria,M,FO,VH,5,A,15,595,11,601+,100,31,14,664,75,255,59,258,10,664,14,629,4,701+,27
=421,260=,novosibirsk state university,RU,Russia,M,CO,VH,4,A,28,317,14,572,94,69,13,685,7,701+,56,264,5,701+,13,667,7,701+,27
=421,434=,université de strasbourg,FR,France,XL,FC,VH,5,A,40,216,8,601+,5,701+,23,512,36,449,39,357,70,194,11,701+,15,614=,27
428,347=,ie university,ES,Spain,M,FO,HI,2,C,7,601+,41,230,56,262,3,701+,95,154,100,4,1,701+,39,183,6,701+,26
=429,,singapore university of technology and design,SG,Singapore,S,SP,,2,,7,601+,6,601+,99,34,65,180,0,,0,,3,701+,8,701+,0,,26
=429,457=,university of trento,IT,Italy,L,CO,VH,4,A,25,352,9,601+,19,685,44,305,27,509,6,701+,61,238,9,701+,35,400=,26
=431,477=,koç university,TR,Turkey,M,FC,HI,3,B,22,393,47,187,24,591,29,448,27,504,11,687,6,701+,11,701+,30,449=,26
=431,436=,national taipei university of technology,TW,Taiwan,M,FO,VH,3,A,15,584,58,144,27,560,34,398,21,582,18,571,1,701+,17,485,13,638,26
=431,332,national taiwan normal university,TW,Taiwan,M,CO,VH,4,A,35,248,21,448,65,209,6,701+,15,674,27,452,2,701+,15,571,43,344,26
=436,471=,dublin city university,IE,Ireland,L,FC,HI,3,A,20,452,27,360,26,575,12,690,76,248,19,557,19,548,25,334,82,137=,26
=436,415,tampere university,FI,Finland,L,FC,VH,1,A,23,391,20,463,24,595,32,422,32,473,6,701+,56,275,21,406,37,387,26
=436,428=,university of science and technology beijing,CN,China (Mainland),L,CO,VH,3,A,13,601+,3,601+,11,701+,97,39,3,701+,3,701+,9,691,6,701+,3,701+,26
440,410=,julius-maximilians-universität würzburg,DE,Germany,L,FC,VH,5,A,17,511,6,601+,5,701+,68,154,36,449,16,591,42,363,10,701+,12,647=,26
=441,354,university of dundee,UK,United Kingdom,L,FC,HI,4,A,18,488,14,595,38,418,14,654,96,142,80,162,27,475,11,701+,22,524=,26
=441,433,université laval,CA,Canada,L,FC,VH,5,A,20,443,11,601+,26,577,25,484,67,290,36,372,55,280,24,343,31,432=,26
=441,392=,university of utah,US,United States,L,FC,VH,5,A,16,548,6,601+,53,295,37,383,25,530,10,701+,54,289,15,560,49,315,26
=444,350=,university of connecticut,US,United States,L,FC,VH,5,A,15,576,7,601+,15,701+,42,327,47,368,19,560,61,237,22,383,62,243=,26
=446,350=,johannes kepler university linz,AT,Austria,M,CO,VH,4,A,13,601+,14,598,83,122,16,617,86,201,27,447,27,487,11,701+,18,560=,26
=446,,toyota technological institute in japan,JP,Japan,S,FO,VH,3,C,5,601+,2,601+,38,419,96,45,8,701+,2,701+,1,701+,8,701+,0,,26
=446,347=,university of jyväskylä,FI,Finland,M,FO,VH,4,A,17,518,13,601+,86,100,15,626,41,404,3,701+,55,287,11,701+,30,447=,26
=452,499=,central south university,CN,China (Mainland),XL,FC,VH,2,A,9,601+,3,601+,6,701+,98,28,7,701+,4,701+,14,616,10,701+,9,689=,26
=454,378=,czech technical university in prague,CZ,Czech Republic,L,SP,,5,A,22,403,38,259,76,161,4,701+,26,526,39,349,15,592,14,618,2,701+,25
=454,396=,indian institute of technology indore (iit indore),IN,India,S,FO,VH,2,A,6,601+,4,601+,33,478,94,57,2,701+,1,701+,1,701+,8,701+,2,701+,25
=454,461=,southeast university,CN,China (Mainland),XL,FC,VH,3,A,13,601+,7,601+,24,593,73,134,15,664,4,701+,21,536,9,701+,17,581=,25
=454,384=,sultan qaboos university,OM,Oman,M,FC,VH,3,A,17,528,14,593,57,259,18,577,100,58,3,701+,48,325,17,478,8,701+,25
459,465=,"essex, university of",UK,United Kingdom,L,CO,VH,4,A,16,535,5,601+,13,701+,26,475,100,82,99,53,40,380,13,638,10,678=,25
=461,308=,national research nuclear university mephi (moscow engineering physics institute),RU,Russia,S,FO,VH,2,A,10,601+,10,601+,99,36,11,701+,54,341,91,115,2,701+,18,466,1,701+,25
=461,352=,universität jena,DE,Germany,L,FC,VH,5,A,19,482,6,601+,100,20,10,701+,0,,22,509,84,125,8,701+,16,592=,25
464,420=,johannes gutenberg universität mainz,DE,Germany,XL,FC,VH,5,A,23,389,13,601+,55,281,15,641,39,418,16,594,70,193,10,701+,19,552=,25
=465,369=,umea university,SE,Sweden,L,FC,VH,4,A,20,449,14,583,68,191,15,637,24,554,10,701+,45,349,13,681,48,318=,25
=469,490=,ben-gurion university of the negev,IL,Israel,L,FC,VH,4,A,15,592,14,577,12,701+,53,245,65,294,16,607,20,544,11,701+,18,564=,25
=469,443=,illinois institute of technology,US,United States,M,CO,VH,5,B,14,601+,16,532,13,701+,49,280,30,490,94,93,2,701+,14,632,3,701+,25
472,338,hiroshima university,JP,Japan,L,FC,VH,4,A,24,366,14,581,81,136,10,701+,17,624,13,663,30,457,10,701+,38,382=,25
=473,443=,beihang university (former buaa),CN,China (Mainland),L,CO,VH,2,A,13,601+,6,601+,36,440,69,150,8,701+,5,701+,7,701+,13,656,15,608=,24
=473,335=,ural federal university - urfu,RU,Russia,XL,CO,VH,5,A,21,410,13,601+,93,70,2,701+,6,701+,26,465,63,225,7,701+,25,490=,24
=473,400=,vilnius university,LT,Lithuania,L,FC,HI,5,A,20,447,28,346,83,119,3,701+,13,701+,15,622,44,351,26,325,12,647=,24
=476,363=,kobe university,JP,Japan,L,FC,VH,4,A,29,308,39,248,53,292,12,701+,7,701+,8,701+,9,701+,12,701+,11,658=,24
=476,400=,universitat politècnica de valència,ES,Spain,L,CO,VH,4,A,26,338,12,601+,47,332,20,561,4,701+,24,489,57,271,8,701+,28,467=,24
479,420=,universität leipzig,DE,Germany,L,FC,VH,5,A,25,344,10,601+,71,181,10,701+,0,,16,602,59,249,10,701+,35,403=,24
=481,405,satbayev university,KZ,Kazakhstan,M,FO,VH,4,A,23,370,36,272,84,111,1,701+,41,407,4,701+,1,701+,11,701+,1,701+,24
=489,449=,ipb university (a.k.a. bogor agricultural university),ID,Indonesia,L,CO,VH,4,A,22,399,39,244,66,203,2,701+,55,339,4,701+,1,701+,24,347,3,701+,24
=489,499=,"university of rome """"tor vergata""""",IT,Italy,L,CO,VH,3,A,32,277,13,601+,8,701+,38,367,7,701+,16,596,33,435,8,701+,15,608=,24
=491,425=,university at buffalo suny,US,United States,L,FC,VH,5,A,18,499,8,601+,8,701+,37,378,43,389,33,390,23,516,25,340,51,305=,24
=491,467=,university of iowa,US,United States,L,FC,VH,5,A,20,444,11,601+,48,325,21,548,22,569,5,701+,51,304,22,374,38,373=,24
=494,392=,chung-ang university (cau),KR,South Korea,L,FC,VH,4,B,20,445,36,271,70,186,9,701+,14,690,36,373,2,701+,13,672,3,701+,23
=494,461=,rensselaer polytechnic institute,US,United States,M,CO,VH,5,B,8,601+,7,601+,20,682,71,144,4,701+,44,326,2,701+,24,350,3,701+,23
=498,346,ewha womans university,KR,South Korea,L,FC,HI,4,B,27,325,23,413,77,150,8,701+,8,701+,20,551,2,701+,15,552,7,701+,23
=502,497=,jilin university,CN,China (Mainland),XL,FC,VH,4,A,14,601+,47,189,39,405,24,506,12,701+,2,701+,18,563,18,458,14,627=,23
=505,428=,national sun yat-sen university,TW,Taiwan,M,CO,VH,3,A,27,330,24,395,30,527,25,483,24,552,10,701+,3,701+,12,701+,21,536=,23
=509,457=,sogang university,KR,South Korea,M,CO,VH,4,B,22,401,49,178,56,269,6,701+,7,701+,24,483,1,701+,17,513,1,701+,23
=511,443=,soas university of london,UK,United Kingdom,M,SP,,5,A,18,494,10,601+,18,701+,15,629,100,51,99,51,1,701+,20,427,4,701+,23
=514,323,pontificia universidad católica argentina,AR,Argentina,L,FC,MD,4,B,20,431,32,303,100,22,1,701+,2,701+,9,701+,1,701+,20,420,1,701+,23
=514,422=,shanghai university,CN,China (Mainland),XL,CO,VH,3,A,22,397,9,601+,53,291,25,476,44,383,6,701+,12,643,11,701+,16,598=,23
=520,432,universidad austral,AR,Argentina,S,FO,VH,3,B,19,460,53,152,75,165,2,701+,2,701+,9,701+,1,701+,9,701+,1,701+,23
525,340=,universiti teknologi brunei,BN,Brunei,S,FO,VH,3,A,14,601+,4,601+,90,86,9,701+,100,46,6,701+,1,701+,34,226,1,701+,22
=526,345,mgimo university,RU,Russia,M,SP,,4,A,12,601+,21,436,100,17,1,701+,13,701+,46,315,1,701+,48,144,1,701+,22
=530,390=,universidad de palermo (up),AR,Argentina,S,FO,MD,3,B,9,601+,18,493,91,83,1,701+,40,411,97,79,1,701+,10,701+,1,701+,22
=534,382=,peter the great st. petersburg polytechnic university,RU,Russia,L,FO,VH,5,A,17,529,9,601+,78,148,3,701+,15,669,88,131,22,528,4,701+,18,564=,22
=538,481=,universiti utara malaysia (uum),MY,Malaysia,L,SP,,3,A,21,423,28,345,40,389,7,701+,19,603,80,164,3,701+,10,701+,11,661=,22
=542,359=,itmo university,RU,Russia,M,FO,VH,5,A,12,601+,12,601+,96,55,7,701+,21,579,39,354,27,476,7,701+,15,612=,22
=542,375=,university ulm,DE,Germany,M,FO,VH,4,A,8,601+,4,601+,78,144,34,404,41,403,21,533,15,603,7,701+,3,701+,22
=551,449=,hasselt university,BE,Belgium,M,FO,VH,4,A,6,601+,3,601+,79,143,18,579,76,247,24,488,27,478,10,701+,16,596=,21
=556,,inti international university,MY,Malaysia,S,FO,HI,2,C,5,601+,15,556,84,112,2,701+,75,252,88,126,1,701+,9,701+,1,701+,21
=556,358,"university of chemistry and technology, prague",CZ,Czech Republic,S,FO,VH,4,A,6,601+,8,601+,99,35,13,680,28,502,72,201,3,701+,10,701+,1,701+,21
=567,481=,bond university,AU,Australia,S,FO,VH,3,B,5,601+,5,601+,44,356,23,518,88,195,94,96,1,701+,12,701+,1,701+,21
=575,410=,hufs - hankuk (korea) university of foreign studies,KR,South Korea,L,CO,HI,3,B,13,601+,24,404,85,104,2,701+,32,471,45,320,1,701+,6,701+,1,701+,21
=577,384=,taipei medical university (tmu),TW,Taiwan,M,SP,,2,B,10,601+,15,536,91,81,18,585,15,667,16,609,1,701+,10,701+,9,688,21
=577,454=,university of tromsø the arctic university of norway,NO,Norway,L,FC,HI,4,A,12,601+,4,601+,71,182,9,701+,70,273,8,701+,43,360,10,701+,22,524=,21
=580,486=,university of klagenfurt,AT,Austria,S,FO,VH,4,A,6,601+,4,601+,60,235,11,701+,95,148,87,137,3,701+,12,701+,2,701+,20
=586,398=,national research tomsk polytechnic university,RU,Russia,M,FO,VH,5,A,10,601+,8,601+,94,66,4,701+,8,701+,77,177,21,535,8,701+,8,701+,20
=595,477=,imam abdulrahman bin faisal university (iau) (formerly university of dammam),SA,Saudi Arabia,L,FC,HI,3,A,8,601+,7,601+,86,101,2,701+,99,105,17,589,12,640,8,701+,19,552=,20
=595,436=,università vita-salute san raffaele,IT,Italy,S,SP,,3,B,3,601+,2,601+,99,40,39,352,8,701+,3,701+,4,701+,8,701+,1,701+,20
=600,471=,tulane university,US,United States,L,FC,HI,5,B,10,601+,5,601+,82,134,10,701+,17,631,15,630,46,339,23,367,21,531=,20
=600,441=,universität des saarlandes,DE,Germany,L,FC,VH,4,A,11,601+,5,601+,90,87,8,701+,5,701+,39,350,39,384,20,416,2,701+,20
1401+,1401+,ataturk university,TR,Turkey,XL,CO,HI,4,A,5,601+,2,601+,3,701+,4,701+,3,701+,4,701+,2,701+,9,701+,4,701+,-
1401+,1401+,california state university long beach,US,United States,XL,CO,VH,4,A,4,601+,3,601+,8,701+,0,,0,,0,,0,,10,701+,0,,-
1401+,1401+,cukurova university,TR,Turkey,XL,FC,HI,4,A,4,601+,3,601+,5,701+,3,701+,2,701+,5,701+,4,701+,7,701+,14,625=,-
1401+,,georgian technical university,GE,Georgia,,FO,,5,A,6,601+,4,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,,guru gobind singh indraprastha university,IN,India,,CO,,3,A,3,601+,3,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,,indian statistical institute,IN,India,,FO,,4,,8,601+,3,601+,0,,0,,0,,0,,2,701+,0,,0,,-
1401+,,"international university of business, agriculture and technology (iubat)",BD,Bangladesh,,CO,,3,,6,601+,4,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,,khulna university,BD,Bangladesh,,SP,,3,,6,601+,5,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,,kwame nkrumah university of science and technology,GH,Ghana,,CO,,,,6,601+,8,601+,0,,0,,0,,0,,11,656,0,,0,,-
1401+,,nara institute of science and technology,JP,Japan,,FO,,3,,6,601+,2,601+,0,,0,,0,,0,,2,701+,0,,0,,-
1401+,1401+,pontificia universidade católica do minas gerais - puc minas,BR,Brazil,XL,FO,HI,4,C,5,601+,4,601+,2,701+,2,701+,0,,0,,1,701+,6,701+,1,701+,-
1401+,,rajshahi university,BD,Bangladesh,,CO,,4,,9,601+,10,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,1401+,sakarya university,TR,Turkey,XL,FC,MD,3,A,4,601+,3,601+,3,701+,3,701+,2,701+,13,669,1,701+,8,701+,1,701+,-
1401+,,shahjalal university of science and technology,BD,Bangladesh,,FO,,3,,7,601+,9,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,,stamford university bangladesh,BD,Bangladesh,,FO,,2,,10,601+,3,601+,0,,0,,0,,0,,1,701+,0,,0,,-
1401+,,state university of malang,ID,Indonesia,L,FO,VH,4,A,5,601+,2,601+,8,701+,2,701+,10,701+,1,701+,1,701+,8,701+,1,701+,-
1401+,1401+,sudan university of science and technology,SD,Sudan,XL,CO,MD,3,A,4,601+,3,601+,3,701+,1,701+,2,701+,2,701+,1,701+,9,701+,1,701+,-
1401+,,technical university of crete,GR,Greece,,SP,,,,6,601+,5,601+,0,,0,,0,,0,,3,701+,0,,0,,-
1401+,,technische universität bergakademie freiberg,DE,Germany,,SP,,,,6,601+,5,601+,0,,0,,0,,0,,5,701+,0,,0,,-
1401+,,technische universität hamburg-harburg,DE,Germany,,SP,,,,9,601+,6,601+,0,,0,,0,,0,,3,701+,0,,0,,-
1401+,,technische universität kaiserslautern,DE,Germany,,CO,,,,7,601+,3,601+,0,,0,,0,,0,,11,655,0,,0,,-
1401+,,udayana university,ID,Indonesia,L,FC,MD,4,A,6,601+,4,601+,7,701+,1,701+,4,701+,10,701+,1,701+,5,701+,1,701+,-
1401+,1401+,"universidad católica boliviana """"san pablo""""",BO,Bolivia,L,FO,MD,4,B,5,601+,3,601+,4,701+,1,701+,3,701+,3,701+,1,701+,16,521,0,,-
1401+,1401+,universidad católica de santiago de guayaquil,EC,Ecuador,L,FO,MD,4,B,4,601+,4,601+,3,701+,1,701+,7,701+,1,701+,1,701+,14,585,1,701+,-
1401+,1401+,universidad de tarapaca,CL,Chile,M,FO,VH,3,A,4,601+,2,601+,2,701+,8,701+,0,,0,,3,701+,4,701+,1,701+,-
1401+,1401+,universidad mayor de san simón cochabamba,BO,Bolivia,XL,CO,LO,5,A,5,601+,3,601+,1,701+,1,701+,0,,1,701+,1,701+,17,491,1,701+,-
1401+,1401+,universidad michoacana de san nicolás de hidalgo,MX,Mexico,XL,FC,MD,5,A,4,601+,2,601+,3,701+,2,701+,0,,0,,1,701+,4,701+,1,701+,-
1401+,1401+,universidad nacional autónoma de honduras (unah),HN,Honduras,XL,FC,LO,5,A,4,601+,5,601+,3,701+,1,701+,2,701+,0,,1,701+,22,369,1,701+,-
1401+,,universidad politecnica salesiana,EC,Ecuador,L,CO,MD,3,B,6,601+,3,601+,4,701+,2,701+,7,701+,2,701+,1,701+,6,701+,1,701+,-
1401+,1401+,universidad tecnológica de bolívar,CO,Colombia,M,FO,HI,4,B,3,601+,5,601+,3,701+,3,701+,8,701+,7,701+,1,701+,9,701+,1,701+,-
1401+,,universitas kristen petra,ID,Indonesia,M,FO,HI,4,C,6,601+,4,601+,7,701+,2,701+,3,701+,1,701+,1,701+,8,701+,0,,-
1401+,,université sorbonne paris nord,FR,France,,CO,,,,10,601+,5,601+,0,,0,,0,,0,,14,611,0,,0,,-
1401+,1401+,university of craiova,RO,Romania,L,CO,HI,4,A,4,601+,2,601+,3,701+,2,701+,0,,0,,1,701+,8,701+,1,701+,-
1401+,,university of ibadan,NG,Nigeria,,CO,,4,,9,601+,7,601+,0,,0,,0,,0,,8,701+,0,,0,,-
1401+,,university of lagos,NG,Nigeria,,CO,,,,7,601+,6,601+,0,,0,,0,,0,,2,701+,0,,0,,-
1401+,,university of lampung,ID,Indonesia,L,FC,MD,4,,3,601+,2,601+,5,701+,1,701+,1,701+,1,701+,1,701+,6,701+,0,,-
1401+,,university of mataram,ID,Indonesia,L,FO,MD,4,A,5,601+,2,601+,4,701+,1,701+,1,701+,1,701+,1,701+,5,701+,0,,-
1401+,1401+,university of oradea,RO,Romania,L,FC,MD,4,A,5,601+,2,601+,4,701+,2,701+,2,701+,7,701+,2,701+,6,701+,2,701+,-
1401+,,university of stavanger,NO,Norway,,CO,,2,,7,601+,6,601+,0,,0,,0,,0,,26,489,0,,0,,-
1401+,,zürcher hochschule winterthur,CH,Switzerland,,CO,,,,6,601+,7,601+,0,,0,,0,,0,,2,701+,0,,0,,-
